major_code,major_name,major_group_code,university_code
080901,计算机科学与技术,HBA001-P01,HBA001
080701,电子信息工程,HBA002-P02,HBA002
080801,自动化,HBA003-P03,HBA003
081001,土木工程,HBA004-P04,HBA004
100201,临床医学,HBA005-P05,HBA005
080901,计算机科学与技术,HBA006-P06,HBA006
080701,电子信息工程,HBA007-P07,HBA007
080801,自动化,HBA008-P08,HBA008
081001,土木工程,HBA009-P09,HBA009
100201,临床医学,HBA010-P10,HBA010
080901,计算机科学与技术,HBA011-P11,HBA011
080701,电子信息工程,HBA012-P12,HBA012
080801,自动化,HBA013-P13,HBA013
081001,土木工程,HBA014-P14,HBA014
100201,临床医学,HBA015-P15,HBA015
080901,计算机科学与技术,HBA016-P16,HBA016
080701,电子信息工程,HBA017-P17,HBA017
080801,自动化,HBA018-P18,HBA018
081001,土木工程,HBA019-P19,HBA019
100201,临床医学,HBA020-P20,HBA020
080901,计算机科学与技术,HBA021-P21,HBA021
080701,电子信息工程,HBA022-P22,HBA022
080801,自动化,HBA023-P23,HBA023
081001,土木工程,HBA024-P24,HBA024
100201,临床医学,HBA025-P25,HBA025
080901,计算机科学与技术,HBA026-P26,HBA026
080701,电子信息工程,HBA027-P27,HBA027
080801,自动化,HBA028-P28,HBA028
081001,土木工程,HBA029-P29,HBA029
100201,临床医学,HBA030-P30,HBA030
080901,计算机科学与技术,HBA031-P31,HBA031
080701,电子信息工程,HBA032-P32,HBA032
080801,自动化,HBA033-P33,HBA033
081001,土木工程,HBA034-P34,HBA034
100201,临床医学,HBA035-P35,HBA035
080901,计算机科学与技术,HBA036-P36,HBA036
080701,电子信息工程,HBA037-P37,HBA037
080801,自动化,HBA038-P38,HBA038
081001,土木工程,HBA039-P39,HBA039
100201,临床医学,HBA040-P40,HBA040
080901,计算机科学与技术,HBA041-P41,HBA041
080701,电子信息工程,HBA042-P42,HBA042
080801,自动化,HBA043-P43,HBA043
081001,土木工程,HBA044-P44,HBA044
100201,临床医学,HBA045-P45,HBA045
080901,计算机科学与技术,HBA046-P46,HBA046
080701,电子信息工程,HBA047-P47,HBA047
080801,自动化,HBA048-P48,HBA048
081001,土木工程,HBA049-P49,HBA049
100201,临床医学,HBA050-P50,HBA050
080901,计算机科学与技术,HBA051-P51,HBA051
080701,电子信息工程,HBA052-P52,HBA052
080801,自动化,HBA053-P53,HBA053
081001,土木工程,HBA054-P54,HBA054
120203,会计学,HBA061-H01,HBA061
050101,汉语言文学,HBA062-H02,HBA062
030101,法学,HBA063-H03,HBA063
020301,金融学,HBA064-H04,HBA064
050201,英语,HBA065-H05,HBA065
120203,会计学,HBA066-H06,HBA066
050101,汉语言文学,HBA067-H07,HBA067
030101,法学,HBA068-H08,HBA068
020301,金融学,HBA069-H09,HBA069
050201,英语,HBA070-H10,HBA070
120203,会计学,HBA071-H11,HBA071
050101,汉语言文学,HBA072-H12,HBA072
030101,法学,HBA073-H13,HBA073
020301,金融学,HBA074-H14,HBA074
050201,英语,HBA075-H15,HBA075
120203,会计学,HBA076-H16,HBA076
050101,汉语言文学,HBA077-H17,HBA077
030101,法学,HBA078-H18,HBA078
020301,金融学,HBA079-H19,HBA079
050201,英语,HBA080-H20,HBA080
120203,会计学,HBA081-H21,HBA081
050101,汉语言文学,HBA082-H22,HBA082
030101,法学,HBA083-H23,HBA083
020301,金融学,HBA084-H24,HBA084
050201,英语,HBA085-H25,HBA085
120203,会计学,HBA086-H26,HBA086
050101,汉语言文学,HBA087-H27,HBA087
030101,法学,HBA088-H28,HBA088
020301,金融学,HBA089-H29,HBA089
050201,英语,HBA090-H30,HBA090
120203,会计学,HBA091-H31,HBA091
050101,汉语言文学,HBA092-H32,HBA092
030101,法学,HBA093-H33,HBA093
020301,金融学,HBA094-H34,HBA094
050201,英语,HBA095-H35,HBA095
120203,会计学,HBA096-H36,HBA096
050101,汉语言文学,HBA097-H37,HBA097
030101,法学,HBA098-H38,HBA098
020301,金融学,HBA099-H39,HBA099
050201,英语,HBA100-H40,HBA100
120203,会计学,HBA101-H41,HBA101
050101,汉语言文学,HBA102-H42,HBA102
030101,法学,HBA103-H43,HBA103
020301,金融学,HBA104-H44,HBA104
050201,英语,HBA105-H45,HBA105
120203,会计学,HBA106-H46,HBA106
050101,汉语言文学,HBA107-H47,HBA107
030101,法学,HBA108-H48,HBA108
020301,金融学,HBA109-H49,HBA109
050201,英语,HBA110-H50,HBA110
120203,会计学,HBA111-H51,HBA111
050101,汉语言文学,HBA112-H52,HBA112
030101,法学,HBA113-H53,HBA113
020301,金融学,HBA114-H54,HBA114
