university_code,university_name,province,city,is_private
HBA001,湖北样例001大学,湖北,襄阳,否
HBA002,湖北样例002大学,湖北,宜昌,否
HBA003,湖北样例003大学,湖北,黄冈,否
HBA004,湖北样例004大学,湖北,荆州,否
HBA005,湖北样例005大学,湖北,十堰,否
HBA006,湖北样例006大学,湖北,孝感,否
HBA007,湖北样例007大学,湖北,咸宁,否
HBA008,湖北样例008大学,湖北,武汉,否
HBA009,湖北样例009大学,湖北,襄阳,否
HBA010,湖北样例010大学,湖北,宜昌,否
HBA011,湖北样例011大学,湖北,黄冈,否
HBA012,湖北样例012大学,湖北,荆州,否
HBA013,湖北样例013大学,湖北,十堰,否
HBA014,湖北样例014大学,湖北,孝感,否
HBA015,湖北样例015大学,湖北,咸宁,否
HBA016,湖北样例016大学,湖北,武汉,否
HBA017,湖北样例017大学,湖北,襄阳,是
HBA018,湖北样例018大学,湖北,宜昌,否
HBA019,湖北样例019大学,湖北,黄冈,否
HBA020,湖北样例020大学,湖北,荆州,否
HBA021,湖北样例021大学,湖北,十堰,否
HBA022,湖北样例022大学,湖北,孝感,否
HBA023,湖北样例023大学,湖北,咸宁,否
HBA024,湖北样例024大学,湖北,武汉,否
HBA025,湖北样例025大学,湖北,襄阳,否
HBA026,湖北样例026大学,湖北,宜昌,否
HBA027,湖北样例027大学,湖北,黄冈,否
HBA028,湖北样例028大学,湖北,荆州,否
HBA029,湖北样例029大学,湖北,十堰,否
HBA030,湖北样例030大学,湖北,孝感,否
HBA031,湖北样例031大学,湖北,咸宁,否
HBA032,湖北样例032大学,湖北,武汉,否
HBA033,湖北样例033大学,湖北,襄阳,否
HBA034,湖北样例034大学,湖北,宜昌,是
HBA035,湖北样例035大学,湖北,黄冈,否
HBA036,湖北样例036大学,湖北,荆州,否
HBA037,湖北样例037大学,湖北,十堰,否
HBA038,湖北样例038大学,湖北,孝感,否
HBA039,湖北样例039大学,湖北,咸宁,否
HBA040,湖北样例040大学,湖北,武汉,否
HBA041,湖北样例041大学,湖北,襄阳,否
HBA042,湖北样例042大学,湖北,宜昌,否
HBA043,湖北样例043大学,湖北,黄冈,否
HBA044,湖北样例044大学,湖北,荆州,否
HBA045,湖北样例045大学,湖北,十堰,否
HBA046,湖北样例046大学,湖北,孝感,否
HBA047,湖北样例047大学,湖北,咸宁,否
HBA048,湖北样例048大学,湖北,武汉,否
HBA049,湖北样例049大学,湖北,襄阳,否
HBA050,湖北样例050大学,湖北,宜昌,否
HBA051,湖北样例051大学,湖北,黄冈,是
HBA052,湖北样例052大学,湖北,荆州,否
HBA053,湖北样例053大学,湖北,十堰,否
HBA054,湖北样例054大学,湖北,孝感,否
HBA061,湖北样例061大学,湖北,襄阳,否
HBA062,湖北样例062大学,湖北,宜昌,否
HBA063,湖北样例063大学,湖北,黄冈,否
HBA064,湖北样例064大学,湖北,荆州,否
HBA065,湖北样例065大学,湖北,十堰,否
HBA066,湖北样例066大学,湖北,孝感,否
HBA067,湖北样例067大学,湖北,咸宁,否
HBA068,湖北样例068大学,湖北,武汉,否
HBA069,湖北样例069大学,湖北,襄阳,否
HBA070,湖北样例070大学,湖北,宜昌,否
HBA071,湖北样例071大学,湖北,黄冈,否
HBA072,湖北样例072大学,湖北,荆州,否
HBA073,湖北样例073大学,湖北,十堰,否
HBA074,湖北样例074大学,湖北,孝感,否
HBA075,湖北样例075大学,湖北,咸宁,否
HBA076,湖北样例076大学,湖北,武汉,否
HBA077,湖北样例077大学,湖北,襄阳,是
HBA078,湖北样例078大学,湖北,宜昌,否
HBA079,湖北样例079大学,湖北,黄冈,否
HBA080,湖北样例080大学,湖北,荆州,否
HBA081,湖北样例081大学,湖北,十堰,否
HBA082,湖北样例082大学,湖北,孝感,否
HBA083,湖北样例083大学,湖北,咸宁,否
HBA084,湖北样例084大学,湖北,武汉,否
HBA085,湖北样例085大学,湖北,襄阳,否
HBA086,湖北样例086大学,湖北,宜昌,否
HBA087,湖北样例087大学,湖北,黄冈,否
HBA088,湖北样例088大学,湖北,荆州,否
HBA089,湖北样例089大学,湖北,十堰,否
HBA090,湖北样例090大学,湖北,孝感,否
HBA091,湖北样例091大学,湖北,咸宁,否
HBA092,湖北样例092大学,湖北,武汉,否
HBA093,湖北样例093大学,湖北,襄阳,否
HBA094,湖北样例094大学,湖北,宜昌,是
HBA095,湖北样例095大学,湖北,黄冈,否
HBA096,湖北样例096大学,湖北,荆州,否
HBA097,湖北样例097大学,湖北,十堰,否
HBA098,湖北样例098大学,湖北,孝感,否
HBA099,湖北样例099大学,湖北,咸宁,否
HBA100,湖北样例100大学,湖北,武汉,否
HBA101,湖北样例101大学,湖北,襄阳,否
HBA102,湖北样例102大学,湖北,宜昌,否
HBA103,湖北样例103大学,湖北,黄冈,否
HBA104,湖北样例104大学,湖北,荆州,否
HBA105,湖北样例105大学,湖北,十堰,否
HBA106,湖北样例106大学,湖北,孝感,否
HBA107,湖北样例107大学,湖北,咸宁,否
HBA108,湖北样例108大学,湖北,武汉,否
HBA109,湖北样例109大学,湖北,襄阳,否
HBA110,湖北样例110大学,湖北,宜昌,否
HBA111,湖北样例111大学,湖北,黄冈,是
HBA112,湖北样例112大学,湖北,荆州,否
HBA113,湖北样例113大学,湖北,十堰,否
HBA114,湖北样例114大学,湖北,孝感,否
